Level	Material#	H	Drawing#	Name CN	Name EN	Desc	Mtype ID	Mtype Desc	Qty	Unit	Purchasing Type ID
….4….	2529000261	→	PF4300-L-19	盖板固定压板	Cable cover holder				4	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			4	ea	B
….4….	1401010005	→		平垫圈		Ø6不锈钢 GB/T 95-2002			4	ea	B
….4….	1401011005	→		弹簧垫圈		Ø6不锈钢 GB/T 94.1-2008			4	ea	B
…3…..	2529005232	→	Assmebly in SOP	地线连接及标签粘贴					1	ea	A
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			2	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			2	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			2	ea	B
….4….	2902001018	→	见图纸	Wire harness18#		Ground wire(3)200单O单簧型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			2	ea	B
….4….	2902001018	→	见图纸	Wire harness18#		Ground wire(3)200单O单簧型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			2	ea	B
….4….	2902001018	→	见图纸	Wire harness18#		Ground wire(3)200单O单簧型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			2	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			2	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			2	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			2	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			2	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			2	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			4	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			4	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			4	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			1	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			1	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			2	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			1	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			1	ea	B
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			1	ea	B
….4….	2902001017	→	见图纸	Wire harness17#		Ground wire(2)200双O型			2	ea	B
….4….	1501157001	→		直角穿板		APLM 8-M16X1			1	ea	B
….4….	1401015014	→		内六角圆柱头螺钉		M5*12不锈钢 GB/T 70.1-2008			2	ea	B
….4….	1401010008	→		平垫圈		Ø5不锈钢 GB/T 95-2002			2	ea	B
….4….	1401011003	→		弹簧垫圈		Ø5不锈钢 GB/T 94.1-2008			2	ea	B
….4….	1401017001	→		内六角平头螺钉		M6*10不锈钢			10	ea	B
….4….	1503009005	→		气管		Ø8蓝色 亚德客			150	mm	F
….4….	1401019003	→		六角螺母		M6不锈钢 GB/T 41-2016			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			1	ea	B
….4….	1902000008	→	见图纸	标签		60*30 Warning HV			1	ea	B
….4….	1902000008	→	见图纸	标签		60*30 Warning HV			1	ea	B
….4….	1902000008	→	见图纸	标签		60*30 Warning HV			1	ea	B
….4….	1902000001	→	见图纸	标签		60x40, Pressure 4~5bar			1	ea	M
….4….	1401015021	→		内六角圆柱头螺钉		M6*10不锈钢 GB/T 70.1-2008			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			1	ea	B
….4….	1401015021	→		内六角圆柱头螺钉		M6*10不锈钢 GB/T 70.1-2008			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
….4….	1902000009	→	见图纸	标签		11*11 Ground			1	ea	B
….4….	1401015021	→		内六角圆柱头螺钉		M6*10不锈钢 GB/T 70.1-2008			1	ea	B
….4….	1401045003	→		锯齿垫		Ø6不锈钢 GB/T 862.2-1987			1	ea	B
.1…….	1501117012	→		插头（连接器）		2623 400V 16A 5孔 威浦电气			1	ea	B
.1…….	2529100025	→	见图纸	附件包-整机连接件		通讯线+气管+封堵+PE			1	suit	B
..2……	1502016020	→	见图纸	ESC封端		ESC 25针			1	ea	F
..2……	1501125026	→	见图纸	DB15通讯线		DB15M-DB15M（6米）			1	ea	F
..2……	2902001021	→	见图纸	Wire harness21#		Ground wire(6)6000单O型			1	ea	F
..2……	1503009005	→		气管		Ø8蓝色 亚德客			6000	mm	P
..2……	1902000013	→	见图纸	标签		55*85 Folk lift			2	ea	M
..2……	1501027006	→		尼龙扎带		红 CV-150			3	ea	B


2523000195
2529000266
2529005058
2529005059
2529005064
2529005068
2529005069
2529005070
2529005088
2529005089
2529005100
2529005138
2529005139
2529005140
2529005141
2529005146
2529005147
2529005159
2529005169
2529005174
2529005181
2529005187
2529005189
2529005190
2529005193
2529005195
2529005197
2529005198
2529005201
2529005210
2529005214
2529005215
2529005218
