code,parent,qty,item,procumenttype,pfep,level,Name,Spec
2529100083,2532000225,1,1,A,,1,入口悬臂总装,PF3200-03-11-00
2532000274,2529100083,1,1,A,,2,入口悬臂装配,PF3200-03-01-00
2532000105,2532000274,1,1,B,,3,入口悬臂安装板组焊,PF3200-03-01-01-00
2529100060,2532000105,1,1,N,,4,入口悬臂安装板,PF3200-03-01-01-01
2529100061,2532000105,1,2,N,,4,悬臂上安装架,PF3200-03-01-01-02
2529100062,2532000105,1,3,N,,4,悬臂端子排安装板,PF3200-03-01-01-04
2529100063,2532000105,2,4,N,,4,气管转接支架,PF3200-03-01-01-05
2529100064,2532000105,3,5,N,,4,直角加强筋,PF3200-03-01-01-06
2529100043,2532000105,1,6,N,,4,机箱电磁阀安装架,PF3200-01-02-01-03
2532000114,2532000274,1,2,B,,3,悬臂摆动轴承座,PF3200-03-01-03
2532000113,2532000274,1,3,B,,3,入口悬臂摆动轴,PF3200-03-01-02
2532000276,2532000274,1,4,A,,3,悬臂压力调节组件,PF3200-03-01-05-00
2532000186,2532000276,1,1,B,,4,悬臂压力调节安装板,PF3200-03-01-05-01
1501158006,2532000276,1,2,B,,4,压力表,F-GU4010M
1503004072,2532000276,1,3,B,,4,内螺纹弯头,PLF601
1503016003,2532000276,1,4,B,,4,调压阀,SR20006N
1503004058,2532000276,1,5,B,,4,弯头,PL601
1503003060,2532000276,1,6,B,,4,直通,PC601
2532000301,2532000274,1,5,B,,3,摆臂气缸安装块,PF3200-03-01-01-03
2532000275,2532000274,1,6,A,,3,摆臂三位阀组件,PF3200-03-01-04-00
2529100037,2532000275,1,1,C,,4,电磁阀,4V120-06B（仅阀体）
2902001008,2529100037,0,1,V,,5,Wire harness 8#,Inlet Pendulum harness
1503004058,2532000275,2,2,B,,4,弯头,PL601
1503004063,2532000275,1,3,B,,4,加长弯头,PLL601
1503024010,2532000275,2,4,B,,4,消音器,BSLM-01
2532000277,2532000274,1,7,A,,3,入口线缆安装板组件,PF3200-03-01-06-00
2529100015,2532000277,1,1,B,,4,入口悬臂线缆安装板-PCB,PF3200-03-01-06-02
1501159005,2532000277,2,2,B,,4,VGA PCB,15PIN 3排15孔
1501157002,2532000277,1,3,B,,4,直角穿板,APLM 6-M14X1
1501157002,2532000274,2,8,B,,3,直角穿板,APLM 6-M14X1
1503004070,2532000274,2,9,B,,3,插管弯头,APLJ6
1503002020,2532000274,1,10,B,,3,Y型三通,PY6
1401015026,2532000274,4,11,B,,3,内六角圆柱头螺钉,6*16不锈钢
1402002004,2532000274,2,12,B,,3,轴承（进口）,6205
1403001008,2532000274,1,13,B,,3,轴用弹性挡圈,25
1401027022,2532000274,6,14,B,,3,内六角平端紧定螺钉,5*10
1401008030,2532000274,4,15,B,,3,内六角平圆头螺钉,4*8不锈钢
